date,temperature,humidity,condition
2012-01-01 00:00:00,-1.8,86,Fog
2012-01-01 01:00:00,-1.8,87,Fog
2012-01-01 02:00:00,-1.8,89,"Freezing Drizzle,Fog"
2012-01-01 03:00:00,-1.5,88,"Freezing Drizzle,Fog"
2012-01-01 04:00:00,-1.5,88,Fog
2012-01-01 05:00:00,-1.4,87,Fog
2012-01-01 06:00:00,-1.5,89,Fog
2012-01-01 07:00:00,-1.4,85,Fog
2012-01-01 08:00:00,-1.4,85,Fog
2012-01-01 09:00:00,-1.3,88,Fog
2012-01-01 10:00:00,-1.0,91,Fog
2012-01-01 11:00:00,-0.5,89,Fog
2012-01-01 12:00:00,-0.2,88,Fog
2012-01-01 13:00:00,0.2,87,Fog
2012-01-01 14:00:00,0.8,87,Fog
2012-01-01 15:00:00,1.8,85,Fog
2012-01-01 16:00:00,2.6,82,Mostly Cloudy
2012-01-01 17:00:00,3.0,81,Cloudy
2012-01-01 18:00:00,3.8,82,Rain
2012-01-01 19:00:00,3.1,88,Rain
2012-01-01 20:00:00,3.2,87,Cloudy
2012-01-01 21:00:00,4.0,85,Cloudy
2012-01-01 22:00:00,4.4,84,Rain Showers
2012-01-01 23:00:00,5.3,79,Cloudy
2012-01-02 00:00:00,5.2,77,Rain Showers
2012-01-02 01:00:00,4.6,72,Cloudy
2012-01-02 02:00:00,3.9,71,Mostly Cloudy
2012-01-02 03:00:00,3.7,69,Mostly Cloudy
2012-01-02 04:00:00,2.9,69,Mostly Cloudy
2012-01-02 05:00:00,2.6,70,Mostly Cloudy
2012-01-02 06:00:00,2.3,70,Mostly Cloudy
2012-01-02 07:00:00,2.0,70,Mostly Cloudy
2012-01-02 08:00:00,1.9,68,Mostly Cloudy
2012-01-02 09:00:00,1.8,67,Mostly Cloudy
2012-01-02 10:00:00,1.5,66,Mostly Cloudy
2012-01-02 11:00:00,2.2,66,Mostly Cloudy
2012-01-02 12:00:00,1.7,56,Mainly Clear
2012-01-02 13:00:00,1.1,57,Mostly Cloudy
2012-01-02 14:00:00,1.1,56,Mostly Cloudy
2012-01-02 15:00:00,0.0,59,Mostly Cloudy
2012-01-02 16:00:00,-0.7,55,Mostly Cloudy
2012-01-02 17:00:00,-2.1,57,Snow Showers
2012-01-02 18:00:00,-4.1,57,Mostly Cloudy
2012-01-02 19:00:00,-4.8,57,Mostly Cloudy
2012-01-02 20:00:00,-5.6,54,Snow Showers
2012-01-02 21:00:00,-5.8,58,Snow Showers
2012-01-02 22:00:00,-7.0,54,Cloudy
2012-01-02 23:00:00,-7.4,59,Snow Showers
2012-01-03 00:00:00,-9.0,57,Snow Showers
2012-01-03 01:00:00,-9.7,54,Cloudy
2012-01-03 02:00:00,-10.5,65,Snow Showers
2012-01-03 03:00:00,-11.3,54,Snow Showers
2012-01-03 04:00:00,-12.6,53,Cloudy
2012-01-03 05:00:00,-12.9,60,Snow Showers
2012-01-03 06:00:00,-13.3,61,Snow Showers
2012-01-03 07:00:00,-14.0,63,Snow
2012-01-03 08:00:00,-14.8,58,Mostly Cloudy
2012-01-03 09:00:00,-15.0,56,Mostly Cloudy
2012-01-03 10:00:00,-15.3,56,Cloudy
2012-01-03 11:00:00,-14.9,54,Mostly Cloudy
2012-01-03 12:00:00,-14.9,52,Mainly Clear
2012-01-03 13:00:00,-15.1,54,Mainly Clear
2012-01-03 14:00:00,-14.9,50,Mainly Clear
2012-01-03 15:00:00,-14.8,53,Mainly Clear
2012-01-03 16:00:00,-15.3,52,Mainly Clear
2012-01-03 17:00:00,-15.8,53,Mainly Clear
2012-01-03 18:00:00,-16.3,52,Mainly Clear
2012-01-03 19:00:00,-16.9,50,Clear
2012-01-03 20:00:00,-17.3,49,Mainly Clear
2012-01-03 21:00:00,-17.0,52,Mostly Cloudy
2012-01-03 22:00:00,-17.1,52,Mostly Cloudy
2012-01-03 23:00:00,-17.3,55,Mostly Cloudy
2012-01-04 00:00:00,-17.5,56,Mostly Cloudy
2012-01-04 01:00:00,-17.9,58,Mainly Clear
2012-01-04 02:00:00,-18.1,61,Mainly Clear
2012-01-04 03:00:00,-18.5,59,Mainly Clear
2012-01-04 04:00:00,-18.5,59,Mainly Clear
2012-01-04 05:00:00,-18.6,62,Mainly Clear
2012-01-04 06:00:00,-18.5,61,Cloudy
2012-01-04 07:00:00,-18.2,60,Cloudy
2012-01-04 08:00:00,-17.8,57,Mostly Cloudy
2012-01-04 09:00:00,-16.8,61,Mostly Cloudy
2012-01-04 10:00:00,-15.2,63,Mostly Cloudy
2012-01-04 11:00:00,-14.2,56,Mostly Cloudy
2012-01-04 12:00:00,-13.7,51,Snow
2012-01-04 13:00:00,-12.4,53,Cloudy
2012-01-04 14:00:00,-11.3,53,Snow
2012-01-04 15:00:00,-10.2,61,Snow
2012-01-04 16:00:00,-9.4,61,Snow
2012-01-04 17:00:00,-8.9,71,Snow
2012-01-04 18:00:00,-8.9,75,Snow
2012-01-04 19:00:00,-8.4,71,Snow
2012-01-04 20:00:00,-7.8,71,Snow
2012-01-04 21:00:00,-7.6,73,Snow
2012-01-04 22:00:00,-9.5,77,Snow
2012-01-04 23:00:00,-9.6,79,Snow
2012-01-05 00:00:00,-8.8,79,Snow
2012-01-05 01:00:00,-7.5,81,Snow
2012-01-05 02:00:00,-5.4,80,Snow
2012-01-05 03:00:00,-5.0,81,Snow
2012-01-05 04:00:00,-4.1,83,Snow
2012-01-05 05:00:00,-7.0,82,Snow
2012-01-05 06:00:00,-8.2,82,Snow
2012-01-05 07:00:00,-7.1,82,Snow
2012-01-05 08:00:00,-6.1,79,Snow
2012-01-05 09:00:00,-6.6,76,Mainly Clear
2012-01-05 10:00:00,-6.0,73,Mainly Clear
2012-01-05 11:00:00,-5.6,70,Mainly Clear
2012-01-05 12:00:00,-4.7,69,Mainly Clear
2012-01-05 13:00:00,-4.4,66,Mainly Clear
2012-01-05 14:00:00,-5.1,65,Mainly Clear
2012-01-05 15:00:00,-4.3,55,Mainly Clear
2012-01-05 16:00:00,-5.0,55,Mainly Clear
2012-01-05 17:00:00,-6.7,56,Mainly Clear
2012-01-05 18:00:00,-7.1,56,Clear
2012-01-05 19:00:00,-9.2,61,Clear
2012-01-05 20:00:00,-9.8,62,Clear
2012-01-05 21:00:00,-9.0,63,Clear
2012-01-05 22:00:00,-9.9,63,Cloudy
2012-01-05 23:00:00,-9.4,61,Cloudy
2012-01-06 00:00:00,-9.6,56,Cloudy
2012-01-06 01:00:00,-10.0,55,Cloudy
2012-01-06 02:00:00,-10.5,61,Cloudy
2012-01-06 03:00:00,-10.6,64,Snow
2012-01-06 04:00:00,-11.3,68,Snow
2012-01-06 05:00:00,-11.8,71,Snow
2012-01-06 06:00:00,-12.0,71,Snow
2012-01-06 07:00:00,-14.4,85,Snow
2012-01-06 08:00:00,-12.3,73,Snow
2012-01-06 09:00:00,-12.5,71,Snow
2012-01-06 10:00:00,-12.3,72,Snow
2012-01-06 11:00:00,-12.0,72,Snow
2012-01-06 12:00:00,-11.7,74,Snow
2012-01-06 13:00:00,-11.9,74,Snow
2012-01-06 14:00:00,-11.2,75,Snow
2012-01-06 15:00:00,-11.5,79,Snow
2012-01-06 16:00:00,-11.6,78,Snow
2012-01-06 17:00:00,-11.2,78,Snow
2012-01-06 18:00:00,-10.5,78,Cloudy
2012-01-06 19:00:00,-10.5,79,Cloudy
2012-01-06 20:00:00,-10.2,80,Cloudy
2012-01-06 21:00:00,-9.5,79,Cloudy
2012-01-06 22:00:00,-9.3,79,Cloudy
2012-01-06 23:00:00,-9.0,79,Cloudy
2012-01-07 00:00:00,-8.7,79,Cloudy
2012-01-07 01:00:00,-8.5,80,Cloudy
2012-01-07 02:00:00,-8.1,79,Cloudy
